main_road,DayNumber,Month,count,unique,average
A1,1,March 2019,209908,5,41982
A1,31,March 2019,138013,5,27603
A1,20,March 2019,197316,5,39463
A1,6,March 2019,192184,5,38437
A1,25,March 2019,193412,5,38682
A1,11,March 2019,188506,5,37701
A1,22,March 2019,214204,5,42841
A1,16,March 2019,151899,5,30380
A1,27,March 2019,199103,5,39821
A1,2,March 2019,161190,5,32238
A1,21,March 2019,192714,5,38543
A1,10,March 2019,132332,5,26466
A1,26,March 2019,193180,5,38636
A1,4,March 2019,187664,5,37533
A1,15,March 2019,203464,5,40693
A1,9,March 2019,162433,5,32487
A1,17,March 2019,135990,5,27198
A1,28,March 2019,192845,5,38569
A1,3,March 2019,136695,5,27339
A1,13,March 2019,194292,5,38858
A1,19,March 2019,192371,5,38474
A1,30,March 2019,166808,5,33362
A1,24,March 2019,138424,5,27685
A1,14,March 2019,196487,5,39297
A1,12,March 2019,184257,5,36851
A1,18,March 2019,187613,5,37523
A1,7,March 2019,201195,5,40239
A1,8,March 2019,210913,5,42183
A1,5,March 2019,192629,5,38526
A1,23,March 2019,165173,5,33035
A1,29,March 2019,210680,5,42136
A11,11,March 2019,181067,8,22633
A11,21,March 2019,180413,8,22552
A11,22,March 2019,201818,8,25227
A11,17,March 2019,150651,8,18831
A11,1,March 2019,190671,8,23834
A11,14,March 2019,176814,8,22102
A11,13,March 2019,171399,8,21425
A11,16,March 2019,138032,8,17254
A11,26,March 2019,172469,8,21559
A11,4,March 2019,174403,8,21800
A11,31,March 2019,171889,8,21486
A11,9,March 2019,142383,8,17798
A11,20,March 2019,173538,8,21692
A11,6,March 2019,168414,8,21052
A11,25,March 2019,183105,8,22888
A11,3,March 2019,140600,8,17575
A11,19,March 2019,171037,8,21380
A11,27,March 2019,170275,8,21284
A11,24,March 2019,158985,8,19873
A11,2,March 2019,144009,8,18001
A11,12,March 2019,165839,8,20730
A11,29,March 2019,208164,8,26020
A11,7,March 2019,173004,8,21626
A11,15,March 2019,195580,8,24448
A11,5,March 2019,157331,8,19666
A11,23,March 2019,151169,8,18896
A11,30,March 2019,168262,8,21033
A11,28,March 2019,179659,8,22457
A11,10,March 2019,145455,8,18182
A11,8,March 2019,195909,8,24489
A11,18,March 2019,179303,8,22413
A12,2,March 2019,91894,4,22974
A12,3,March 2019,73059,4,18265
A12,25,March 2019,107105,4,26776
A12,8,March 2019,116940,4,29235
A12,12,March 2019,102081,4,25520
A12,18,March 2019,105987,4,26497
A12,1,March 2019,113410,4,28352
A12,31,March 2019,90231,4,22558
A12,9,March 2019,92258,4,23064
A12,17,March 2019,82068,4,20517
A12,28,March 2019,110817,4,27704
A12,6,March 2019,104746,4,26186
A12,14,March 2019,104981,4,26245
A12,16,March 2019,87498,4,21874
A12,27,March 2019,104521,4,26130
A12,24,March 2019,87716,4,21929
A12,26,March 2019,106820,4,26705
A12,10,March 2019,74205,4,18551
A12,29,March 2019,118855,4,29714
A12,20,March 2019,107729,4,26932
A12,19,March 2019,104149,4,26037
A12,15,March 2019,116057,4,29014
A12,11,March 2019,106496,4,26624
A12,30,March 2019,101044,4,25261
A12,23,March 2019,92968,4,23242
A12,5,March 2019,106342,4,26586
A12,21,March 2019,110269,4,27567
A12,22,March 2019,116884,4,29221
A12,4,March 2019,104442,4,26110
A12,7,March 2019,107421,4,26855
A12,13,March 2019,85066,4,21266
A14,6,March 2019,2948432,125,23587
A14,16,March 2019,2037064,125,16297
A14,10,March 2019,1852618,125,14821
A14,1,March 2019,3078887,125,24631
A14,29,March 2019,3319169,125,26553
A14,8,March 2019,3145214,125,25162
A14,9,March 2019,2172286,125,17378
A14,17,March 2019,1963823,125,15711
A14,31,March 2019,2246132,125,17969
A14,28,March 2019,3151893,125,25215
A14,30,March 2019,2449880,125,19599
A14,27,March 2019,2939798,125,23518
A14,20,March 2019,2977555,125,23820
A14,21,March 2019,3060504,125,24484
A14,13,March 2019,2596301,125,20770
A14,22,March 2019,3164687,125,25317
A14,19,March 2019,2955556,125,23644
A14,4,March 2019,2896897,125,23175
A14,12,March 2019,2855252,125,22842
A14,2,March 2019,2095164,125,16761
